Country,Women_ReproductiveAge,Young_Adolescents,Older_Adolescents,Older_Youth, Youth
Afghanistan,8929462,2501560,2197654,1843985,4041639
Angola,7335458,2106256,1710550,1409338,3119888
Bangladesh,45732681,7449811,7648627,7477394,15126021
Benin,2798003,715514,620886,537427,1158313
Bhutan,205442,33057,34472,35293,69765
Bolivia,2950644,567818,553845,518117,1071962
Burkina Faso,4735854,1299774,1094316,915080,2009396
Burundi,2700731,722533,586872,516960,1103832
Cambodia,4458265,785562,727434,768352,1495786
Cameroon,6268992,1606407,1377377,1176449,2553826
CAR,1112179,327697,289792,231688,521480
Chad,3602955,1060655,896215,738510,1634725
Comoros,209697,48897,43166,38482,81648
Congo,1294873,329869,275056,229488,504544
Côte d'Ivoire,6227653,1565223,1424475,1238837,2663312
Djibouti,253972,39482,41271,41110,82381
DPR Korea,6548199,839695,931517,955978,1887495
DR Congo,19352020,5522555,4533885,3726537,8260422
Egypt,24938352,4533606,4189592,4087985,8277577
Eritrea,823546,232854,174260,140822,315082
Ethiopia,27620498,6767911,6343543,5648508,11992051
Gambia,564689,144394,125019,112500,237519
Ghana,7567055,1669614,1508797,1372680,2881477
Guinea,3117489,821737,730346,624791,1355137
Guinea-Bissau,478856,117648,100997,89813,190810
Haiti,3014738,590011,565536,531966,1097502
Honduras,2667626,505059,511066,491260,1002326
India,353356940,60172728,59164382,57319089,116483471
Indonesia,71651521,11155693,11326565,10924467,22251032
Iraq,9901626,2170453,1993686,1823322,3817008
Kenya,13652231,3288073,2917853,2534425,5452278
Kyrgyz Republic,1619999,280409,243138,258135,501273
Lao PDR,1923163,369146,348188,344559,692747
Lesotho,556394,107210,108427,100907,209334
Liberia,1189170,300354,264243,221037,485280
Madagascar,6647864,1627254,1474875,1302209,2777084
Malawi,4548340,1245380,1053390,897296,1950686
Mali,4385364,1313726,1063846,846781,1910627
Mauritania,1106210,257941,226137,200487,426624
Mongolia,850979,131541,106646,117316,223962
Mozambique,7308645,1982048,1724558,1418451,3143009
Myanmar,15014155,2450824,2533333,2376722,4910055
Nepal,8839766,1481938,1615208,1675948,3291156
Nicaragua,1786206,306808,290712,286052,576764
Niger,4892347,1543391,1239530,976890,2216420
Nigeria,46216830,12299694,10420692,8622286,19042978
Pakistan,54257491,11137248,10439958,9948577,20388535
Papua New Guinea,2212709,475594,440583,396771,837354
Philippines,28058770,5273495,5029137,4896316,9925453
Rwanda,3204028,761061,663097,582269,1245366
Sao Tome and Principe,50373,14143,11896,8893,20789
Senegal,4001600,1004347,849255,741748,1591003
Sierra Leone,1914452,486872,425511,366948,792459
Solomon Islands,160888,37130,33111,28444,61555
Somalia,3457640,1028502,881508,737060,1618568
South Africa,15903241,2665504,2413807,2463553,4877360
South Sudan,2650055,674891,588887,521439,1110326
Sri Lanka,5326819,859670,823840,751634,1575474
State of Palestine,1245041,282072,251918,244818,496736
Sudan,10414375,2582915,2318322,1998588,4316910
Tajikistan,2315457,453681,393499,411456,804955
Tanzania,13655243,3681201,3075455,2544850,5620305
Timor-Leste,316656,76313,74415,62832,137247
Togo,1983590,499501,430098,359056,789154
Uganda,10515537,2979105,2531918,2126920,4658838
Uzbekistan,8869184,1380497,1240796,1405702,2646498
Viet Nam,25489272,3315778,3131578,3481953,6613531
Western Sahara,160321,24235,23853,24552,48405
Yemen,7408593,1707463,1547559,1435824,2983383
Zambia,4349193,1178455,1026583,849073,1875656
Zimbabwe,3795302,929359,801392,695804,1497196
